1,BL2,1766853600,0
2,BL2,1766853600,2
3,BL2,1766853602,2
4,BL2,1766853604,2
5,AL1,1766853606,1
6,BL2,1766853606,2
7,BL2,1766853606,1
8,BL2,1766853608,0
9,BL2,1766853610,0
10,BL2,1766853612,0
11,DL2,1766853614,2
12,AL1,1766853614,0
13,AL1,1766853614,0
14,BL2,1766853616,0
15,DL2,1766853618,1
16,DL2,1766853618,1
17,AL1,1766853620,1
18,AL1,1766853622,2
19,AL1,1766853622,0
20,BL2,1766853624,0
21,CL3,1766853626,2
22,AL1,1766853626,0
23,BL2,1766853628,0
24,BL2,1766853628,0
25,CL3,1766853628,1
26,BL2,1766853630,2
27,BL2,1766853630,0
28,BL2,1766853630,2
29,BL2,1766853632,0
30,AL1,1766853632,2
31,AL1,1766853632,0
32,BL2,1766853634,0
33,BL2,1766853634,0
34,AL1,1766853636,0
35,AL1,1766853638,2
36,BL2,1766853638,0
37,BL2,1766853638,2
38,AL1,1766853640,0
39,BL2,1766853640,0
40,DL2,1766853640,0
41,AL1,1766853642,0
42,BL2,1766853642,1
43,DL2,1766853644,1
44,CL3,1766853644,0
45,BL2,1766853646,0
46,DL2,1766853648,0
47,BL2,1766853648,0
48,CL3,1766853650,2
49,CL3,1766853652,1
50,BL2,1766853652,0
51,AL1,1766853652,1
52,AL1,1766853655,1
53,AL1,1766853655,1
54,BL2,1766853657,1
55,BL2,1766853659,0
56,AL1,1766853659,0
57,BL2,1766853661,2
58,BL2,1766853661,1
59,BL2,1766853661,0
60,DL2,1766853663,0
61,DL2,1766853663,0
62,AL1,1766853663,0
63,CL3,1766853665,1
64,BL2,1766853665,0
65,BL2,1766853665,1
66,CL3,1766853667,2
67,DL2,1766853669,0
68,BL2,1766853671,1
69,AL1,1766853671,0
70,AL1,1766853671,0
71,BL2,1766853673,0
72,BL2,1766853673,0
73,AL1,1766853675,2
74,BL2,1766853677,0
75,BL2,1766853677,2
76,DL2,1766853679,2
77,CL3,1766853679,1
78,DL2,1766853679,0
79,CL3,1766853681,0
80,BL2,1766853683,0
81,CL3,1766853683,0
82,BL2,1766853683,0
83,CL3,1766853685,1
84,BL2,1766853685,0
85,DL2,1766853685,1
86,AL1,1766853687,2
87,BL2,1766853689,0
88,AL1,1766853691,0
89,AL1,1766853691,2
90,BL2,1766853693,0
91,DL2,1766853693,0
92,AL1,1766853693,0
93,CL3,1766853695,1
94,BL2,1766853695,1
95,DL2,1766853697,2
96,AL1,1766853697,1
97,AL1,1766853697,0
98,BL2,1766853699,0
99,DL2,1766853701,0
100,BL2,1766853701,1
101,BL2,1766853703,0
102,AL1,1766853705,1
103,BL2,1766853707,2
104,CL3,1766853707,0
105,BL2,1766853707,0
106,DL2,1766853709,1
107,DL2,1766853709,1
108,AL1,1766853709,0
109,BL2,1766853711,0
110,BL2,1766853711,2
111,DL2,1766853711,1
112,BL2,1766853713,1
113,AL1,1766853713,1
114,BL2,1766853715,0
115,DL2,1766853715,1
116,BL2,1766853715,2
117,BL2,1766853717,0
118,AL1,1766853717,0
119,BL2,1766853717,0
120,DL2,1766853719,0
121,BL2,1766853719,0
